tweet_id,favorites,retweet
892420643555336193,35565,7534
892177421306343426,30753,5589
891815181378084864,23129,3703
891689557279858688,38845,7709
891327558926688256,37102,8316
891087950875897856,18708,2787
890971913173991426,10869,1810
890729181411237888,59926,16856
890609185150312448,25744,3843
890240255349198849,29373,6554
890006608113172480,28331,6550
889880896479866881,25750,4460
889665388333682689,44288,8939
889638837579907072,24916,4000
889531135344209921,13995,2018
889278841981685760,23246,4767
888917238123831296,26839,4010
888804989199671297,23560,3781
888554962724278272,18195,3094
888078434458587136,20088,3102
887705289381826560,27937,4824
887517139158093824,42767,10544
887473957103951883,63353,16095
887343217045368832,31055,9388
887101392804085760,28272,5337
886983233522544640,32170,6849
886736880519319552,11042,2861
886680336477933568,20761,4005
886366144734445568,19504,2831
886267009285017600,110,4
886258384151887873,25821,5651
886054160059072513,0,99
885984800019947520,30055,6014
885528943205470208,33169,5716
885518971528720385,18887,3338
885311592912609280,0,16528
885167619883638784,20162,3903
884925521741709313,70962,16128
884876753390489601,25649,4983
884562892145688576,22420,4204
884441805382717440,24977,5091
884247878851493888,66876,18154
884162670584377345,18834,2676
883838122936631299,20146,3063
883482846933004288,42258,8838
883360690899218434,20908,3304
883117836046086144,34229,5953
882992080364220416,22044,3477
882762694511734784,26067,4372
882627270321602560,25856,5434
882268110199369728,41352,10349
882045870035918850,27072,4354
881906580714921986,22473,3043
881666595344535552,46748,9550
881633300179243008,115,7
881536004380872706,45648,14317
881268444196462592,21468,4733
880935762899988482,15795,2504
880872448815771648,19658,3430
880465832366813184,26279,5556
880221127280381952,24875,3725
880095782870896641,25507,3889
879862464715927552,20662,3119
879674319642796034,290,10
879492040517615616,21687,2853
879415818425184262,97653,39846
879376492567855104,15549,2805
879130579576475649,0,6093
879050749262655488,20820,4215
879008229531029506,17561,2399
878776093423087618,17889,3666
878604707211726852,27786,6342
878404777348136964,0,1146
878316110768087041,0,5948
878281511006478336,7140,1146
878057613040115712,38908,6093
877736472329191424,73108,16967
877611172832227328,0,71
877556246731214848,20977,3413
877316821321428993,25373,4670
877201837425926144,25042,4998
876838120628539392,19151,2991
876537666061221889,21923,4214
876484053909872640,17393,2124
876120275196170240,25908,4192
875747767867523072,23230,3830
875144289856114688,20311,4411
875097192612077568,25419,5474
875021211251597312,23629,4239
874680097055178752,25759,4173
874434818259525634,0,13075
874296783580663808,24158,3712
874057562936811520,21067,3589
874012996292530176,31724,9213
873580283840344065,22470,3556
873337748698140672,0,1426
873213775632977920,6641,1426
872967104147763200,25299,4887
872820683541237760,13682,3361
872620804844003328,19243,3286
872486979161796608,37849,8175
872122724285648897,31842,7316
871879754684805121,34880,9893
871762521631449091,18791,3153
871515927908634625,18764,3149
871166179821445120,0,5181
871102520638267392,19457,4995
871032628920680449,21179,3461
870804317367881728,31340,5626
870726314365509632,113,3
870656317836468226,11487,2380
870374049280663552,77381,24135
870308999962521604,20439,3767
870063196459192321,34057,7558
869772420881756160,39701,9227
869702957897576449,26346,5734
869596645499047938,14907,2841
869227993411051520,19068,3436
868880397819494401,61010,13146
868639477480148993,0,1886
868622495443632128,24893,4825
868552278524837888,9417,1886
867900495410671616,22648,3823
867774946302451713,31772,6712
867421006826221569,15059,2280
867072653475098625,0,110
867051520902168576,30142,7232
866720684873056260,18754,4391
866686824827068416,18050,3188
866450705531457537,114494,32322
866334964761202691,49071,13075
866094527597207552,0,7693
865718153858494464,24094,5171
865359393868664832,24830,4594
865006731092295680,26295,7086
864873206498414592,30294,7988
864279568663928832,13703,2773
864197398364647424,28133,8135
863907417377173506,19359,3817
863553081350529029,14358,3865
863471782782697472,0,2240
863432100342583297,22363,4833
863427515083354112,2079,89
863079547188785154,8257,1026
863062471531167744,7935,2240
862831371563274240,18037,4757
862722525377298433,16114,3276
862457590147678208,19233,4552
862096992088072192,69834,21426
861383897657036800,33995,9910
861288531465048066,16181,3830
861005113778896900,15752,3542
860981674716409858,0,1992
860924035999428608,0,740
860563773140209665,7086,1992
860524505164394496,22337,4929
860276583193509888,17394,3266
860184849394610176,15756,5437
860177593139703809,0,28737
859924526012018688,18541,3826
859851578198683649,14622,3275
859607811541651456,17641,1449
859196978902773760,84953,28097
859074603037188101,32022,12716
858860390427611136,0,7573
858843525470990336,14799,3245
858471635011153920,20438,4543
858107933456039936,14957,2711
857989990357356544,15259,2427
857746408056729600,32534,9968
857393404942143489,5597,1545
857263160327368704,19101,4252
857214891891077121,215,17
857062103051644929,0,157
857029823797047296,17942,3739
856543823941562368,15584,2711
856526610513747968,11321,1771
856330835276025856,0,630
856288084350160898,491,15
856282028240666624,26455,5923
855862651834028034,321,24
855860136149123072,4679,925
855857698524602368,11336,1992
855851453814013952,43764,17079
855818117272018944,25489,5130
855459453768019968,28478,7781
855245323840757760,0,5626
855138241867124737,0,43
854732716440526848,21770,5747
854482394044301312,28020,6480
854365224396361728,18106,4449
854120357044912130,30684,7088
854010172552949760,15604,2997
853760880890318849,27440,5470
853639147608842240,33310,9525
853299958564483072,14897,3394
852936405516943360,0,1894
852912242202992640,8683,1720
852672615818899456,14382,2060
852553447878664193,15712,3315
852311364735569921,31964,9504
852226086759018497,19302,6552
852189679701164033,11084,1524
851861385021730816,0,19
851591660324737024,15728,3324
851464819735769094,23453,6770
851224888060895234,20022,5511
850753642995093505,29776,8724
850380195714523136,12701,2498
850333567704068097,3349,315
850145622816686080,15825,3644
850019790995546112,19783,4680
849776966551130114,29451,7295
849668094696017920,0,4763
849412302885593088,15409,3030
849336543269576704,11097,1826
849051919805034497,41111,8153
848690551926992896,24472,4171
848324959059550208,24021,4456
848213670039564288,7943,699
848212111729840128,15873,2918
847978865427394560,0,3149
847971574464610304,0,420
847962785489326080,22886,4896
847842811428974592,5288,1280
847617282490613760,6802,401
847606175596138505,18280,3319
847251039262605312,19976,4183
847157206088847362,19361,5668
847116187444137987,20922,3081
846874817362120707,19579,3794
846514051647705089,43433,11156
846505985330044928,13755,2964
846153765933735936,30779,8742
846139713627017216,30283,9739
846042936437604353,15593,2772
845812042753855489,28482,8406
845677943972139009,24604,4659
845397057150107648,7451,1733
845306882940190720,22788,5219
845098359547420673,0,7428
844979544864018432,13331,2470
844973813909606400,14706,3089
844580511645339650,16097,3030
844223788422217728,13379,2128
843981021012017153,14835,2872
843856843873095681,20982,4493
843604394117681152,16528,2666
843235543001513987,21042,5856
842846295480000512,14967,3532
842765311967449089,6589,1239
842535590457499648,17722,3413
842163532590374912,23933,5626
842115215311396866,13688,2948
841833993020538882,0,14649
841680585030541313,25240,7617
841439858740625411,12400,3579
841320156043304961,19403,5362
841314665196081154,15541,4529
841077006473256960,22409,5181
840761248237133825,0,1720
840728873075638272,0,15680
840698636975636481,171,2
840696689258311684,12063,949
840632337062862849,8830,1720
840370681858686976,16127,4444
840268004936019968,18893,5584
839990271299457024,13187,2224
839549326359670784,26977,7573
839290600511926273,0,139
839239871831150596,26636,6388
838952994649550848,19329,3902
838921590096166913,10939,2007
838916489579200512,0,33
838831947270979586,0,10769
838561493054533637,10787,1308
838476387338051585,22117,4669
838201503651401729,0,9818
838150277551247360,1639,325
838085839343206401,138,1
838083903487373313,17346,3055
837820167694528512,33536,7693
837482249356513284,3802,437
837471256429613056,12589,2227
837110210464448512,15808,2319
836989968035819520,12559,2256
836753516572119041,19052,4555
836677758902222849,12435,2189
836648853927522308,0,548
836397794269200385,0,26984
836380477523124226,14569,2937
836260088725786625,21008,4229
836001077879255040,18815,4183
835685285446955009,0,7985
835574547218894849,17554,3556
835536468978302976,0,1664
835309094223372289,0,20543
835297930240217089,16257,2952
835264098648616962,7624,1664
835246439529840640,2074,72
835172783151792128,25793,5665
835152434251116546,22066,2952
834931633769889797,10669,1608
834786237630337024,21125,5416
834574053763584002,13467,2489
834477809192075265,0,10460
834458053273591808,9507,1648
834209720923721728,20332,4662
834167344700198914,15636,3606
834089966724603904,9898,2099
834086379323871233,12899,2172
833863086058651648,13266,2372
833826103416520705,17845,3717
833732339549220864,0,219
833722901757046785,20563,3176
833479644947025920,14687,2013
833124694597443584,19953,4763
832998151111966721,13084,2164
832769181346996225,0,39
832757312314028032,16664,3565
832682457690300417,11735,2868
832645525019123713,2893,524
832636094638288896,15656,2741
832397543355072512,11841,2182
832369877331693569,16994,3149
832273440279240704,11221,2301
832215909146226688,0,6130
832215726631055365,0,9191
832088576586297345,61,2
832040443403784192,0,9471
832032802820481025,17668,4601
831939777352105988,23719,6045
831926988323639298,332,34
831911600680497154,27281,6405
831670449226514432,10311,1789
831650051525054464,7052,1894
831552930092285952,8871,2292
831322785565769729,9190,1534
831315979191906304,6478,1113
831309418084069378,11629,2432
831262627380748289,11785,2014
830956169170665475,7895,1477
830583320585068544,66092,16528
830173239259324417,0,5612
830097400375152640,9692,2898
829878982036299777,0,4935
829861396166877184,12121,1915
829501995190984704,31400,10460
829449946868879360,10360,1988
829141528400556032,24151,7234
829011960981237760,52679,16136
828801551087042563,0,3386
828770345708580865,25344,5786
828708714936930305,36137,11040
828650029636317184,9428,1328
828409743546925057,6295,1154
828408677031882754,7606,1276
828381636999917570,12474,2192
828376505180889089,7312,1056
828372645993398273,12452,2901
828361771580813312,2169,173
828046555563323392,11647,2843
828011680017821696,10258,2128
827933404142436356,19913,5184
827653905312006145,15374,2995
827600520311402496,7411,931
827324948884643840,15734,3006
827199976799354881,10508,2201
826958653328592898,21404,4935
826848821049180160,36011,10043
826615380357632002,0,3949
826598799820865537,5077,249
826598365270007810,9950,2317
826476773533745153,18262,4148
826240494070030336,13185,2583
826204788643753985,4842,914
826115272272650244,15540,3073
825876512159186944,10397,1847
825829644528148480,12650,2467
825535076884762624,56450,17421
825147591692263424,18175,4490
825120256414846976,0,1241
825026590719483904,6251,1241
824796380199809024,0,5458
824775126675836928,14797,3483
824663926340194305,10460,1760
824325613288833024,11750,10470
824297048279236611,14965,3822
824025158776213504,4795,595
823939628516474880,10559,2686
823719002937630720,0,11099
823699002998870016,13898,2502
823581115634085888,12937,2607
823333489516937216,698,24
823322678127919110,15636,3989
823269594223824897,0,9815
822975315408461824,17230,3417
822872901745569793,130786,42893
822859134160621569,13177,2261
822647212903690241,0,6370
822610361945911296,14715,2936
822489057087389700,18052,6370
822462944365645825,27813,14182
822244816520155136,34786,9815
822163064745328640,0,4732
821886076407029760,11273,2287
821813639212650496,0,3353
821765923262631936,8358,1649
821522889702862852,8000,1750
821421320206483457,0,5546
821407182352777218,11702,4315
821153421864615936,253,10
821149554670182400,8597,1964
821107785811234820,9553,2126
821044531881721856,12613,2265
820837357901512704,0,6691
820749716845686786,31398,9818
820690176645140481,12175,3213
820494788566847489,0,563
820446719150292993,0,2557
820314633777061888,3334,563
820078625395449857,19737,6251
820013781606658049,0,1172
819952236453363712,5313,1172
819924195358416896,12866,4863
819711362133872643,13328,3096
819588359383371776,9624,1981
819347104292290561,7190,1202
819238181065359361,2260,406
819227688460238848,23001,6691
819015337530290176,0,36747
819015331746349057,0,18920
819006400881917954,45143,18920
819004803107983360,86641,36747
818646164899774465,0,20902
818627210458333184,22342,7519
818614493328580609,9809,2544
818588835076603904,0,6106
818536468981415936,10855,2446
818307523543449600,0,8037
818259473185828864,10984,2253
818145370475810820,12234,2564
817908911860748288,4844,801
817827839487737858,51492,26984
817777686764523521,10724,2678
817536400337801217,11735,2949
817502432452313088,0,3377
817423860136083457,33749,14649
817415592588222464,5585,941
817181837579653120,0,8449
817171292965273600,8739,2017
817120970343411712,12193,2586
817056546584727552,8566,1639
816829038950027264,0,4707
816816676327063552,9987,2036
816697700272001025,9765,2181
816450570814898180,30354,8037
816336735214911488,8586,1943
816091915477250048,8924,2134
816062466425819140,0,1013
816014286006976512,0,5255
815990720817401858,4948,1013
815966073409433600,22363,8449
815745968457060357,0,4119
815736392542261248,9845,2258
815639385530101762,8215,1650
815390420867969024,10335,3805
814986499976527872,7647,1278
814638523311648768,11266,2692
814578408554463233,0,5832
814530161257443328,8640,1861
814153002265309185,28743,8670
813944609378369540,0,3183
813910438903693312,9287,1865
813812741911748608,36353,13973
813800681631023104,8320,1760
813217897535406080,18626,7291
813202720496779264,9229,1817
813187593374461952,19849,4354
813172488309972993,9255,1926
813157409116065792,7769,2218
813142292504645637,8480,2388
813130366689148928,4469,450
813127251579564032,11823,3138
813112105746448384,10297,2738
813096984823349248,10575,3637
813081950185472002,9889,2792
813066809284972545,7939,1960
813051746834595840,20986,7373
812781120811126785,7580,1909
812709060537683968,6618,1436
812503143955202048,6069,1220
812466873996607488,7961,1940
812372279581671427,13666,3662
811985624773361665,7270,1403
811744202451197953,7548,1594
811647686436880384,5612,745
811627233043480576,12776,3085
811386762094317568,20944,6406
810984652412424192,5334,1447
810896069567610880,9009,1775
810657578271330305,10975,2652
810284430598270976,35244,11287
810254108431155201,14705,3386
809920764300447744,15579,3949
809808892968534016,0,4897
809448704142938112,6958,1472
809220051211603969,19954,5612
809084759137812480,13245,3541
808838249661788160,10147,3046
808733504066486276,7908,2171
808501579447930884,11348,2604
808344865868283904,42662,20902
808134635716833280,0,5929
808106460588765185,8826,2216
808001312164028416,12547,3553
807621403335917568,14613,3623
807106840509214720,118417,55483
807059379405148160,0,7360
807010152071229440,13115,3874
806629075125202948,74751,34705
806620845233815552,0,5548
806576416489959424,4913,1963
806542213899489280,10241,2365
806242860592926720,0,11642
806219024703037440,6456,1197
805958939288408065,0,5388
805932879469572096,8313,1929
805826884734976000,6573,1828
805823200554876929,0,8026
805520635690676224,5768,1663
805487436403003392,8807,2534
805207613751304193,7854,1726
804738756058218496,13742,3824
804475857670639616,6140,2016
804413760345620481,0,3248
804026241225523202,44520,16171
803773340896923648,10084,2755
803692223237865472,0,7454
803638050916102144,10978,4162
803380650405482500,7787,1879
803321560782307329,0,5340
803276597545603072,10060,2463
802952499103731712,9036,2006
802624713319034886,0,2925
802600418706604034,7121,1475
802572683846291456,8962,2515
802323869084381190,16225,5846
802265048156610565,6766,1380
802239329049477120,9100,2633
802185808107208704,0,274
801958328846974976,7777,1726
801854953262350336,1791,237
801538201127157760,8246,2076
801285448605831168,6057,820
801167903437357056,24499,5929
801127390143516673,0,3971
801115127852503040,8089,2111
800859414831898624,691,98
800855607700029440,0,1618
800751577355128832,10602,2809
800513324630806528,13164,2997
800459316964663297,9537,2182
800443802682937345,0,4336
800388270626521089,11182,2821
800188575492947969,0,3960
800141422401830912,15321,2557
800018252395122689,28424,13209
799774291445383169,0,4706
799757965289017345,8408,2176
799422933579902976,8102,1938
799308762079035393,0,5487
799297110730567681,9911,2772
799063482566066176,8092,2486
798933969379225600,13121,4474
798925684722855936,7528,1444
798705661114773508,0,6663
798701998996647937,0,7804
798697898615730177,0,6551
798694562394996736,0,4969
798686750113755136,0,2343
798682547630837760,0,4751
798673117451325440,0,5577
798665375516884993,0,3920
798644042770751489,0,1866
798628517273620480,0,1987
798585098161549313,0,5703
798576900688019456,0,5854
798340744599797760,0,3344
798209839306514432,10447,2572
797971864723324932,11614,3112
797545162159308800,14579,4888
797236660651966464,20019,6602
797165961484890113,225,26
796904159865868288,0,8950
796865951799083009,7705,1933
796759840936919040,11871,3040
796563435802726400,0,7286
796484825502875648,7592,1763
796387464403357696,11034,4153
796177847564038144,0,14327
796149749086875649,32284,14327
796125600683540480,4979,1812
796116448414461957,9118,2420
796080075804475393,8471,2317
796031486298386433,10821,3728
795464331001561088,49719,23643
795400264262053889,10071,2881
795076730285391872,16240,5458
794983741416415232,0,3383
794926597468000259,10267,2313
794355576146903043,0,10301
794332329137291264,9613,2690
794205286408003585,9238,3328
793962221541933056,16856,4897
793845145112371200,9251,1868
793614319594401792,0,3145
793601777308463104,7993,1628
793500921481273345,10689,2378
793286476301799424,24664,9191
793271401113350145,8713,2400
793256262322548741,20027,8367
793241302385262592,10520,3304
793226087023144960,9849,2894
793210959003287553,8944,2806
793195938047070209,15295,5644
793180763617361921,6943,2007
793165685325201412,9410,2797
793150605191548928,6187,1710
793135492858580992,6421,2506
793120401413079041,12680,3935
792913359805018113,14354,3998
792883833364439040,11313,4284
792773781206999040,7371,1684
792394556390137856,13464,4307
792050063153438720,7175,1803
791821351946420224,0,21151
791784077045166082,0,9593
791780927877898241,0,3830
791774931465953280,45207,22252
791672322847637504,11773,3145
791406955684368384,13169,4119
791312159183634433,8799,2540
791026214425268224,0,4104
790987426131050500,9852,2140
790946055508652032,16676,4707
790723298204217344,0,2318
790698755171364864,8237,1931
790581949425475584,20692,7153
790337589677002753,7839,1887
790277117346975746,12580,3183
790227638568808452,0,3569
789986466051088384,9260,2318
789960241177853952,0,4133
789903600034189313,10376,4147
789628658055020548,7519,1773
789599242079838210,6769,1932
789530877013393408,11748,3383
789314372632018944,8678,2304
789280767834746880,0,4937
789268448748703744,9136,2619
789137962068021249,9738,2797
788908386943430656,27471,12507
788765914992902144,27368,10301
788552643979468800,0,7184
788412144018661376,15580,5273
788178268662984705,7243,2101
788150585577050112,6130,1288
788070120937619456,0,3436
788039637453406209,6135,1316
787810552592695296,8624,3057
787717603741622272,10274,2782
787397959788929025,10884,2851
787322443945877504,7782,1746
787111942498508800,0,6766
786963064373534720,26656,7985
786729988674449408,0,2427
786709082849828864,18242,6130
786664955043049472,10593,2552
786595970293370880,9439,3131
786363235746385920,10903,3503
786286427768250368,7963,2843
786233965241827333,15246,4732
786051337297522688,1422,155
786036967502913536,0,7009
785927819176054784,11385,3188
785872687017132033,6692,1812
785639753186217984,7859,2243
785533386513321988,9116,2002
785515384317313025,6126,1259
785264754247995392,7258,1624
785170936622350336,12030,4832
784826020293709826,10101,3248
784517518371221505,8956,2536
784431430411685888,5705,1271
784183165795655680,20062,8026
784057939640352768,29759,11101
783839966405230592,29974,10769
783821107061198850,7349,1971
783695101801398276,10468,3206
783466772167098368,8445,2241
783391753726550016,16879,5465
783347506784731136,0,5530
783334639985389568,29129,11642
783085703974514689,8153,2199
782969140009107456,24076,7360
782747134529531904,7455,1408
782722598790725632,17235,5388
782598640137187329,7781,1873
782305867769217024,16598,5546
782021823840026624,0,6189
781955203444699136,11100,3362
781661882474196992,10411,2709
781655249211752448,3982,1129
781524693396357120,20714,5548
781308096455073793,7131,2551
781251288990355457,8424,2078
781163403222056960,9792,2746
780931614150983680,21571,7286
780858289093574656,7170,2001
780800785462489090,5475,1298
780601303617732608,12077,3353
780543529827336192,6282,1743
780496263422808064,0,3672
780476555013349377,0,112
780459368902959104,5281,1078
780192070812196864,8698,2234
780092040432480260,0,2291
780074436359819264,12141,4941
779834332596887552,18834,7009
779377524342161408,8774,3105
779124354206535695,0,18198
779056095788752897,14693,4522
778990705243029504,19874,7166
778774459159379968,0,9836
778764940568104960,864,360
778748913645780993,6859,1304
778650543019483137,5746,1492
778624900596654080,4627,1009
778408200802557953,13575,4306
778396591732486144,0,12162
778383385161035776,5808,1100
778286810187399168,10327,3273
778039087836069888,8466,2631
778027034220126208,6518,1602
777953400541634568,0,3506
777885040357281792,6319,1624
777684233540206592,11187,2925
777641927919427584,0,4210
777621514455814149,8696,2494
777189768882946048,14216,4287
776819012571455488,0,13602
776813020089548800,4861,1203
776477788987613185,8781,2759
776249906839351296,0,9067
776218204058357768,29733,15754
776201521193218049,9577,2508
776113305656188928,11697,4336
776088319444877312,1830,151
775898661951791106,0,16423
775842724423557120,11656,2639
775733305207554048,13809,3971
